Input: range(79, 94)
humidity_to_location[95] = 58, diff -37
humidity_to_location[96] = 59, diff -37
humidity_to_location[97] = 97, diff 0
humidity_to_location[98] = 98, diff 0
humidity_to_location[99] = 99, diff 0

expected output from input range(79,93) is

result = [range(46, 56), range(60, 62), range(63, 64), range(78, 81)]

where of course answer to 5B is min([x.start for x in result]).
